timestampUtc,session,playerBase,playerState,food,wood,stone,gold,populationCurrent,populationCapacity,villagerCount,militaryCount
2026-07-27T20:52:14.3020931Z,1,0x01292690,0x0F737D20,1300,1250,1000,1000,3,1,3,0
2026-07-27T20:52:14.8180606Z,1,0x01292690,0x0F737D20,1300,1250,1000,1000,3,1,3,0
2026-07-27T20:52:15.3192347Z,1,0x01292690,0x0F737D20,1300,1250,1000,1000,3,1,3,0
2026-07-27T20:52:15.8337061Z,1,0x01292690,0x0F737D20,1250,1250,1000,1000,3,1,3,0
2026-07-27T20:52:16.3458865Z,1,0x01292690,0x0F737D20,1250,1250,1000,1000,3,1,3,0
2026-07-27T20:52:16.8607354Z,1,0x01292690,0x0F737D20,1250,1250,1000,1000,3,1,3,0
2026-07-27T20:52:17.3754843Z,1,0x01292690,0x0F737D20,1250,1250,1000,1000,3,1,3,0
2026-07-27T20:52:17.8907013Z,1,0x01292690,0x0F737D20,1250,1250,1000,1000,3,1,3,0
2026-07-27T20:52:18.4036581Z,1,0x01292690,0x0F737D20,1250,1250,1000,1000,3,1,3,0
2026-07-27T20:52:18.9186741Z,1,0x01292690,0x0F737D20,1250,1250,1000,1000,3,1,3,0
2026-07-27T20:52:19.4302458Z,1,0x01292690,0x0F737D20,1250,1250,1000,1000,3,1,3,0
2026-07-27T20:52:19.9414050Z,1,0x01292690,0x0F737D20,1250,1250,1000,1000,3,1,3,0
2026-07-27T20:52:20.4558979Z,1,0x01292690,0x0F737D20,1250,1250,1000,1000,3,1,3,0
2026-07-27T20:52:20.9674184Z,1,0x01292690,0x0F737D20,1250,1220,1000,1000,3,1,3,0
2026-07-27T20:52:21.4697978Z,1,0x01292690,0x0F737D20,1250,1220,1000,1000,3,1,3,0
2026-07-27T20:52:21.9859497Z,1,0x01292690,0x0F737D20,1250,1220,1000,1000,3,1,3,0
2026-07-27T20:52:22.4974305Z,1,0x01292690,0x0F737D20,1250,1220,1000,1000,3,1,3,0
2026-07-27T20:52:23.0130690Z,1,0x01292690,0x0F737D20,1250,1220,1000,1000,3,1,3,0
2026-07-27T20:52:23.5268283Z,1,0x01292690,0x0F737D20,1250,1220,1000,1000,3,1,3,0
2026-07-27T20:52:24.0410440Z,1,0x01292690,0x0F737D20,1250,1220,1000,1000,3,1,3,0
2026-07-27T20:52:24.5558377Z,1,0x01292690,0x0F737D20,1250,1220,1000,1000,3,1,3,0
